id,name,cate_1,cate_2,cate_3,dong,lon,lat,naver_keyword,naver_map_url,Kakao_Ratings,Predicted_Ratings
649,라멘트럭,일식,일식 면 요리,일식 음식점업,상수동,37.54717358,126.9226573,상수동 라멘트럭,https://m.place.naver.com/restaurant/36097869,3.5,3.4127405
1187,요코스카쓰나미상수점,일식,일식 회/초밥,일식 음식점업,상수동,37.5482083,126.9224953,상수동 요코스카쓰나미상수점,https://m.place.naver.com/restaurant/1001519106,3.6,4.6815805
1430,가프,비알코올 ,카페,커피 전문점,상수동,37.54679416,126.9225496,상수동 가프,https://m.place.naver.com/restaurant/1575865774,4.9,3.5282698
2670,횬지수퍼음식점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상수동,37.54914103,126.9220179,상수동 횬지수퍼음식점,https://m.place.naver.com/restaurant/1482505775,0.0,3.2171779
3242,냉장고,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54662505,126.9227783,상수동 냉장고,https://m.place.naver.com/restaurant/1791240561,4.8,3.7398055
4801,오토노,주점,요리 주점,기타 주점업,상수동,37.5469706,126.9231242,상수동 오토노,https://m.place.naver.com/restaurant/1579670948,5.0,3.4112499
12295,램스일레븐,일식,일식 회/초밥,일식 음식점업,상수동,37.54822107,126.9209334,상수동 램스일레븐,https://m.place.naver.com/restaurant/36454701,4.0,3.8042946
14814,아크틱,한식,백반/한정식,한식 일반 음식점업,상수동,37.54858557,126.9213808,상수동 아크틱,https://m.place.naver.com/restaurant/1366795553,4.2,3.3453016
15620,윅앤드위켄드상수점,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54525898,126.9221756,상수동 윅앤드위켄드상수점,https://m.place.naver.com/restaurant/1217411138,5.0,4.236643
15629,삼월황,서양식,경양식,서양식 음식점업,상수동,37.54805506,126.9215016,상수동 삼월황,https://m.place.naver.com/restaurant/1355220016,5.0,3.9816208