,name,cate_1,cate_2,cate_3,dong,lon,lat,naver_keyword,naver_map_url
649,라멘트럭,일식,일식 면 요리,일식 음식점업,상수동,37.54717358,126.9226573,상수동 라멘트럭,https://m.place.naver.com/restaurant/36097869
1187,요코스카쓰나미상수점,일식,일식 회/초밥,일식 음식점업,상수동,37.5482083,126.9224953,상수동 요코스카쓰나미상수점,https://m.place.naver.com/restaurant/1001519106
1430,가프,비알코올 ,카페,커피 전문점,상수동,37.54679416,126.9225496,상수동 가프,https://m.place.naver.com/restaurant/1575865774
2670,횬지수퍼음식점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상수동,37.54914103,126.9220179,상수동 횬지수퍼음식점,https://m.place.naver.com/restaurant/1482505775
3242,냉장고,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54662505,126.9227783,상수동 냉장고,https://m.place.naver.com/restaurant/1791240561
4801,오토노,주점,요리 주점,기타 주점업,상수동,37.5469706,126.9231242,상수동 오토노,https://m.place.naver.com/restaurant/1579670948
12295,램스일레븐,일식,일식 회/초밥,일식 음식점업,상수동,37.54822107,126.9209334,상수동 램스일레븐,https://m.place.naver.com/restaurant/36454701
14814,아크틱,한식,백반/한정식,한식 일반 음식점업,상수동,37.54858557,126.9213808,상수동 아크틱,https://m.place.naver.com/restaurant/1366795553
15620,윅앤드위켄드상수점,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54525898,126.9221756,상수동 윅앤드위켄드상수점,https://m.place.naver.com/restaurant/1217411138
15629,삼월황,서양식,경양식,서양식 음식점업,상수동,37.54805506,126.9215016,상수동 삼월황,https://m.place.naver.com/restaurant/1355220016
16902,서강8경율도,일식,일식 회/초밥,일식 음식점업,상수동,37.54492728,126.9253263,상수동 서강8경율도,https://m.place.naver.com/restaurant/37672645
18455,서울진,한식,백반/한정식,한식 일반 음식점업,상수동,37.54713868,126.9227823,상수동 서울진,https://m.place.naver.com/restaurant/1723927841
21162,피자스쿨,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54756322,126.9238852,상수동 피자스쿨,https://m.place.naver.com/restaurant/1686508047
21623,어리광,한식,백반/한정식,한식 일반 음식점업,상수동,37.54744784,126.9201297,상수동 어리광,https://m.place.naver.com/restaurant/1282263314
23173,후라토식당상수,일식,일식 카레/돈가스/덮밥,한식 육류 요리 전문점,상수동,37.54858557,126.9213808,상수동 후라토식당상수,https://m.place.naver.com/restaurant/1442258641
27538,상수동카스티야,기타 간이,빵/도넛,제과점업,상수동,37.54815104,126.9221453,상수동 상수동카스티야,https://m.place.naver.com/restaurant/1507501496
28961,스탠스커피,비알코올 ,카페,커피 전문점,상수동,37.54882041,126.9224299,상수동 스탠스커피,https://m.place.naver.com/restaurant/38010911
29961,골드김밥,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상수동,37.54758625,126.922459,상수동 골드김밥,https://m.place.naver.com/restaurant/1197946103
30507,더리터,비알코올 ,카페,커피 전문점,상수동,37.54962636,126.922871,상수동 더리터,https://m.place.naver.com/restaurant/1788018859
31291,상수동블루스,주점,요리 주점,기타 주점업,상수동,37.5462534,126.9225347,상수동 상수동블루스,https://m.place.naver.com/restaurant/33471612
31961,상수포차,주점,일반 유흥 주점,한식 일반 음식점업,상수동,37.5471511,126.9231555,상수동 상수포차,https://m.place.naver.com/restaurant/33972707
32132,온블랙94,서양식,경양식,서양식 음식점업,상수동,37.54827023,126.9223699,상수동 온블랙94,https://m.place.naver.com/restaurant/1072465860
32182,이안정,일식,일식 회/초밥,일식 음식점업,상수동,37.54809224,126.9216256,상수동 이안정,https://m.place.naver.com/restaurant/1545033166
37521,상수방,비알코올 ,카페,커피 전문점,상수동,37.54595094,126.9219733,상수동 상수방,https://m.place.naver.com/restaurant/1084349860
38492,주무대,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.5459349,126.921204,상수동 주무대,https://m.place.naver.com/restaurant/258955099
39108,각각,주점,요리 주점,기타 주점업,상수동,37.5453412,126.9222989,상수동 각각,https://m.place.naver.com/restaurant/1651786352
39410,엑스엑스커피뮤지엄,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.54699835,126.923203,상수동 엑스엑스커피뮤지엄,https://m.place.naver.com/restaurant/1592244542
40664,카페씨스트,비알코올 ,카페,커피 전문점,상수동,37.54851029,126.9210311,상수동 카페씨스트,https://m.place.naver.com/restaurant/1938123191
42136,더그리니치,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54707878,126.9241185,상수동 더그리니치,https://m.place.naver.com/restaurant/1087552980
42861,상수리,주점,일반 유흥 주점,일반 유흥 주점업,상수동,37.54748984,126.9227546,상수동 상수리,https://m.place.naver.com/restaurant/1085229767
42946,운김,일식,일식 회/초밥,경영 컨설팅업,상수동,37.54817518,126.9218281,상수동 운김,https://m.place.naver.com/restaurant/1585753069
44511,여기도강포차,주점,요리 주점,기타 주점업,상수동,37.54762956,126.9212814,상수동 여기도강포차,https://m.place.naver.com/restaurant/1708970372
47665,홍대개미,일식,일식 카레/돈가스/덮밥,한식 일반 음식점업,상수동,37.54816557,126.9207757,상수동 홍대개미,https://m.place.naver.com/restaurant/31469621
49257,쿠시무라,일식,일식 회/초밥,일식 음식점업,상수동,37.54600757,126.9222554,상수동 쿠시무라,https://m.place.naver.com/restaurant/32473194
49323,이디야,비알코올 ,카페,커피 전문점,상수동,37.54823822,126.9228117,상수동 이디야,https://m.place.naver.com/restaurant/1712549233
49751,구대회커피상수래미안점,비알코올 ,카페,커피 전문점,상수동,37.54681633,126.9269627,상수동 구대회커피상수래미안점,https://m.place.naver.com/restaurant/1606580717
49970,홍옥,주점,요리 주점,기타 주점업,상수동,37.55005423,126.9233514,상수동 홍옥,https://m.place.naver.com/restaurant/1608155874
50195,혜윰인핑크,비알코올 ,카페,커피 전문점,상수동,37.54890456,126.9237527,상수동 혜윰인핑크,https://m.place.naver.com/restaurant/1218793460
51447,플로이드,비알코올 ,카페,커피 전문점,상수동,37.54826227,126.9214986,상수동 플로이드,https://m.place.naver.com/restaurant/1697076407
51710,윤반장,한식,백반/한정식,한식 일반 음식점업,상수동,37.54920812,126.9224582,상수동 윤반장,https://m.place.naver.com/restaurant/1937544308
52648,흠스홈,서양식,경양식,서양식 음식점업,상수동,37.54817518,126.9218281,상수동 흠스홈,https://m.place.naver.com/restaurant/1809703762
53846,김덕후의곱창조,한식,곱창 전골/구이,한식 육류 요리 전문점,상수동,37.54920812,126.9224582,상수동 김덕후의곱창조,https://m.place.naver.com/restaurant/32779391
56326,데코아발림,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.54841781,126.9217567,상수동 데코아발림,https://m.place.naver.com/restaurant/21728200
56391,카페해피베어데이,비알코올 ,카페,커피 전문점,상수동,37.54833176,126.9212147,상수동 카페해피베어데이,https://m.place.naver.com/restaurant/1130004491
59799,에그드랍,기타 간이,토스트/샌드위치/샐러드,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54793441,126.9221031,상수동 에그드랍,https://m.place.naver.com/restaurant/1448176164
60232,심야식당킨빠,한식,기타 한식 음식점,중식 음식점업,상수동,37.54758625,126.922459,상수동 심야식당킨빠,https://m.place.naver.com/restaurant/1073028855
61613,수지앤파스타,서양식,파스타/스테이크,서양식 음식점업,상수동,37.54866573,126.9212778,상수동 수지앤파스타,https://m.place.naver.com/restaurant/37192534
63749,주문진항,일식,일식 회/초밥,일식 음식점업,상수동,37.54817106,126.9203909,상수동 주문진항,https://m.place.naver.com/restaurant/1796003089
67595,밥스바비,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54618941,126.9224338,상수동 밥스바비,https://m.place.naver.com/restaurant/36046893
70866,살로또상수,서양식,경양식,서양식 음식점업,상수동,37.54940182,126.923938,상수동 살로또상수,https://m.place.naver.com/restaurant/37663789
70906,파브리카,비알코올 ,카페,커피 전문점,상수동,37.55260046,126.9249219,상수동 파브리카,https://m.place.naver.com/restaurant/981095114
73803,포에트,비알코올 ,카페,커피 전문점,상수동,37.55018377,126.923723,상수동 포에트,https://m.place.naver.com/restaurant/1616124276
74567,니케족발,한식,족발/보쌈,한식 일반 음식점업,상수동,37.54816422,126.9206286,상수동 니케족발,https://m.place.naver.com/restaurant/1616963053
76459,반라이,일식,일식 회/초밥,일식 음식점업,상수동,37.54846068,126.9215184,상수동 반라이,https://m.place.naver.com/restaurant/1456435836
77118,태산커피상수점,비알코올 ,카페,커피 전문점,상수동,37.54825823,126.9220419,상수동 태산커피상수점,https://m.place.naver.com/restaurant/1092352608
78628,레슬리스위츠,비알코올 ,카페,커피 전문점,상수동,37.54871261,126.9224654,상수동 레슬리스위츠,https://m.place.naver.com/restaurant/1484009801
83094,아이엘엘,주점,요리 주점,기타 주점업,상수동,37.54926839,126.9221518,상수동 아이엘엘,https://m.place.naver.com/restaurant/1839168978
84080,노보카인,주점,요리 주점,기타 주점업,상수동,37.54588758,126.9209557,상수동 노보카인,https://m.place.naver.com/restaurant/1049623271
87692,꽃피는고기,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54851029,126.9210311,상수동 꽃피는고기,https://m.place.naver.com/restaurant/38404891
88116,봉봉,한식,백반/한정식,한식 일반 음식점업,상수동,37.54797271,126.9253165,상수동 봉봉,https://m.place.naver.com/restaurant/1363994074
88740,베어바,주점,요리 주점,기타 주점업,상수동,37.54831023,126.9208302,상수동 베어바,https://m.place.naver.com/restaurant/1518770958
89428,더채리엇,주점,요리 주점,기타 주점업,상수동,37.54746463,126.9239432,상수동 더채리엇,https://m.place.naver.com/restaurant/1003565635
91766,상수김치삼겹살,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54760626,126.9216891,상수동 상수김치삼겹살,https://m.place.naver.com/restaurant/1134372647
93846,벤더,기타 간이,빵/도넛,제과점업,상수동,37.55005423,126.9233514,상수동 벤더,https://m.place.naver.com/restaurant/1772316440
96845,벨로스테이,주점,요리 주점,기타 주점업,상수동,37.54595527,126.9224485,상수동 벨로스테이,https://m.place.naver.com/restaurant/37446153
96981,프레이밍,비알코올 ,카페,커피 전문점,상수동,37.5482608,126.9252898,상수동 프레이밍,https://m.place.naver.com/restaurant/1533493234
97354,투다리상수점,주점,요리 주점,기타 주점업,상수동,37.5471511,126.9231555,상수동 투다리상수점,https://m.place.naver.com/restaurant/1691576731
97822,명장,중식,중국집,중식 음식점업,상수동,37.54798317,126.9225098,상수동 명장,https://m.place.naver.com/restaurant/1270213408
98884,고피자,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54876109,126.9248186,상수동 고피자,https://m.place.naver.com/restaurant/1133320650
106415,엠프티플레이트,서양식,경양식,서양식 음식점업,상수동,37.5482083,126.9224953,상수동 엠프티플레이트,https://m.place.naver.com/restaurant/1996887120
111026,페더,주점,일반 유흥 주점,일반 유흥 주점업,상수동,37.54835681,126.9219839,상수동 페더,https://m.place.naver.com/restaurant/37743324
111525,인간실격,한식,백반/한정식,한식 일반 음식점업,상수동,37.54618941,126.9224338,상수동 인간실격,https://m.place.naver.com/restaurant/1800308382
114120,고피자,기타 간이,피자,경영 컨설팅업,상수동,37.54876109,126.9248186,상수동 고피자,https://m.place.naver.com/restaurant/1133320650
116772,유,주점,일반 유흥 주점,일반 유흥 주점업,상수동,37.54823681,126.9206842,상수동 유,https://m.place.naver.com/restaurant/1106729988
118448,처갓집양념치킨,기타 간이,치킨,치킨 전문점,상수동,37.54662505,126.9227783,상수동 처갓집양념치킨,https://m.place.naver.com/restaurant/1064926385
118798,명성관,주점,요리 주점,기타 주점업,상수동,37.5459349,126.921204,상수동 명성관,https://m.place.naver.com/restaurant/76183600
119036,카페캠퍼,비알코올 ,카페,커피 전문점,상수동,37.55260046,126.9249219,상수동 카페캠퍼,https://m.place.naver.com/restaurant/390821152
120751,퐁퐁꼬마김밥,기타 간이,김밥/만두/분식,한식 일반 음식점업,상수동,37.54762314,126.9215644,상수동 퐁퐁꼬마김밥,https://m.place.naver.com/restaurant/1064886637
120952,더그릭베어,비알코올 ,카페,커피 전문점,상수동,37.54790031,126.9233032,상수동 더그릭베어,https://m.place.naver.com/restaurant/1213537628
122589,육회예술새우감성,한식,소고기 구이/찜,한식 일반 음식점업,상수동,37.54788019,126.9240617,상수동 육회예술새우감성,https://m.place.naver.com/restaurant/1175503580
122881,21뉴욕피자,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54882041,126.9224299,상수동 21뉴욕피자,https://m.place.naver.com/restaurant/1057039099
123316,멘타카무쇼,동남아시아,베트남식 전문,기타 외국식 음식점업,상수동,37.54823163,126.921103,상수동 멘타카무쇼,https://m.place.naver.com/restaurant/1080330680
123614,바리스타,비알코올 ,카페,커피 전문점,상수동,37.54791182,126.9225901,상수동 바리스타,https://m.place.naver.com/restaurant/38010129
124119,오대마,비알코올 ,카페,커피 전문점,상수동,37.54927314,126.9226723,상수동 오대마,https://m.place.naver.com/restaurant/1104266499
124525,고요,주점,요리 주점,기타 주점업,상수동,37.54618941,126.9224338,상수동 고요,https://m.place.naver.com/restaurant/1288710363
126976,하지,한식,백반/한정식,한식 일반 음식점업,상수동,37.5459474,126.9225731,상수동 하지,https://m.place.naver.com/restaurant/1749772173
128670,로멘토케이크,기타 간이,빵/도넛,제과점업,상수동,37.55031103,126.9238457,상수동 로멘토케이크,https://m.place.naver.com/restaurant/1239082273
129883,1976샤브샤브,한식,국/탕/찌개류,한식 일반 음식점업,상수동,37.54807099,126.9222596,상수동 1976샤브샤브,https://m.place.naver.com/restaurant/37168372
130180,긴자료코,일식,일식 카레/돈가스/덮밥,일식 음식점업,상수동,37.54699835,126.923203,상수동 긴자료코,https://m.place.naver.com/restaurant/1429837581
132015,한돌개발홍대제2기숙사학생식당,구내식당·뷔페,구내식당,기관 구내식당업,상수동,37.55260046,126.9249219,상수동 한돌개발홍대제2기숙사학생식당,https://m.place.naver.com/restaurant/1275263742
133548,타로야,일식,일식 회/초밥,일식 음식점업,상수동,37.54883665,126.9232218,상수동 타로야,https://m.place.naver.com/restaurant/1298505160
144506,모데시,주점,무도 유흥 주점,무도 유흥 주점업,상수동,37.55020656,126.9232587,상수동 모데시,https://m.place.naver.com/restaurant/1008218783
144848,봉구가래떡볶이,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상수동,37.5490855,126.9228448,상수동 봉구가래떡볶이,https://m.place.naver.com/restaurant/1734153618
145499,카이화,중식,중국집,중식 음식점업,상수동,37.54796476,126.9214803,상수동 카이화,https://m.place.naver.com/restaurant/1732949952
146215,브렛피자,기타 간이,피자,기타 외국식 음식점업,상수동,37.547343,126.9224625,상수동 브렛피자,https://m.place.naver.com/restaurant/1800338473
148075,고고갈비,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54793441,126.9221031,상수동 고고갈비,https://m.place.naver.com/restaurant/34897295
148155,카페인팩토리,비알코올 ,카페,커피 전문점,상수동,37.54509233,126.9256408,상수동 카페인팩토리,https://m.place.naver.com/restaurant/1214677307
150281,밀가루인쇄소,비알코올 ,카페,커피 전문점,상수동,37.54841802,126.9247443,상수동 밀가루인쇄소,https://m.place.naver.com/restaurant/212897207
150793,동피랑,일식,일식 회/초밥,일식 음식점업,상수동,37.54581032,126.9213755,상수동 동피랑,https://m.place.naver.com/restaurant/37349717
151546,써브웨이,기타 간이,토스트/샌드위치/샐러드,간이 음식 포장 판매 전문점,상수동,37.5483138,126.9231954,상수동 써브웨이,https://m.place.naver.com/restaurant/37392034
151749,피스오브헤븐,기타 간이,빵/도넛,제과점업,상수동,37.54796476,126.9214803,상수동 피스오브헤븐,https://m.place.naver.com/restaurant/1562047501
151998,플레이트946,서양식,경양식,서양식 음식점업,상수동,37.54858359,126.9251154,상수동 플레이트946,https://m.place.naver.com/restaurant/1566687178
152297,시러피하우스,비알코올 ,카페,커피 전문점,상수동,37.54858627,126.9254096,상수동 시러피하우스,https://m.place.naver.com/restaurant/1900564106
152910,미남당&배배꼬,기타 간이,빵/도넛,커피 전문점,상수동,37.54878853,126.9218984,상수동 미남당&배배꼬,https://m.place.naver.com/restaurant/1422358363
153614,유선생돈가스,주점,요리 주점,기타 주점업,상수동,37.54934109,126.9222187,상수동 유선생돈가스,https://m.place.naver.com/restaurant/1106729988
153756,과일에반하다프루타,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.55260046,126.9249219,상수동 과일에반하다프루타,https://m.place.naver.com/restaurant/1387991098
154847,송린,일식,일식 회/초밥,일식 음식점업,상수동,37.54699381,126.9227051,상수동 송린,https://m.place.naver.com/restaurant/1259183599
156653,쿄식탁,일식,일식 회/초밥,일식 음식점업,상수동,37.54816557,126.9207757,상수동 쿄식탁,https://m.place.naver.com/restaurant/1953847467
158854,45년의정부부대찌개,한식,백반/한정식,한식 일반 음식점업,상수동,37.54800702,126.9211741,상수동 45년의정부부대찌개,https://m.place.naver.com/restaurant/38328708
159138,케이지365,한식,백반/한정식,한식 일반 음식점업,상수동,37.54589492,126.9217591,상수동 케이지365,https://m.place.naver.com/restaurant/38407622
160832,도리무란도,주점,요리 주점,기타 주점업,상수동,37.54517455,126.9257641,상수동 도리무란도,https://m.place.naver.com/restaurant/1619895672
161633,전다운전,한식,백반/한정식,한식 일반 음식점업,상수동,37.54860409,126.9224217,상수동 전다운전,https://m.place.naver.com/restaurant/1201223411
161844,원조부안집,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54799314,126.921627,상수동 원조부안집,https://m.place.naver.com/restaurant/1262766573
164056,어반쓰리에이엠,주점,일반 유흥 주점,일반 유흥 주점업,상수동,37.54865101,126.9216401,상수동 어반쓰리에이엠,https://m.place.naver.com/restaurant/1514294010
166454,치치상수점,주점,요리 주점,기타 주점업,상수동,37.54797253,126.9213444,상수동 치치상수점,https://m.place.naver.com/restaurant/31786591
168197,앤드에이,비알코올 ,카페,커피 전문점,상수동,37.54601219,126.9237491,상수동 앤드에이,https://m.place.naver.com/restaurant/1534247529
170121,낫띵뉴,비알코올 ,카페,커피 전문점,상수동,37.54807099,126.9222596,상수동 낫띵뉴,https://m.place.naver.com/restaurant/1632474623
172044,테이스테이,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54823681,126.9206842,상수동 테이스테이,https://m.place.naver.com/restaurant/1257409008
175220,맛이차이나,중식,중국집,중식 음식점업,상수동,37.54758949,126.9208406,상수동 맛이차이나,https://m.place.naver.com/restaurant/31777479
176951,더핏짜,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54934109,126.9222187,상수동 더핏짜,https://m.place.naver.com/restaurant/1015887536
177448,안,서양식,경양식,서양식 음식점업,상수동,37.54870154,126.9222392,상수동 안,https://m.place.naver.com/restaurant/1715864223
179720,향차이,중식,중국집,중식 음식점업,상수동,37.55260046,126.9249219,상수동 향차이,https://m.place.naver.com/restaurant/1289446008
180808,세모식당,한식,백반/한정식,한식 일반 음식점업,상수동,37.54613184,126.9220499,상수동 세모식당,https://m.place.naver.com/restaurant/1912389737
183038,스노브,기타 간이,빵/도넛,제과점업,상수동,37.54974338,126.922858,상수동 스노브,https://m.place.naver.com/restaurant/13155019
183220,유즈,주점,요리 주점,기타 주점업,상수동,37.54611992,126.9227177,상수동 유즈,https://m.place.naver.com/restaurant/1330564736
183409,블루포트홍익대학교점,비알코올 ,카페,커피 전문점,상수동,37.55260046,126.9249219,상수동 블루포트홍익대학교점,https://m.place.naver.com/restaurant/1896170461
186416,마라1983,중식,마라탕/훠궈,중식 음식점업,상수동,37.54816422,126.9206286,상수동 마라1983,https://m.place.naver.com/restaurant/1599378912
186471,인솔커피상수점,비알코올 ,카페,커피 전문점,상수동,37.54710946,126.9235296,상수동 인솔커피상수점,https://m.place.naver.com/restaurant/1198014242
186843,노이뜨레,서양식,경양식,서양식 음식점업,상수동,37.54921372,126.9220847,상수동 노이뜨레,https://m.place.naver.com/restaurant/1284739480
186959,죠스테이블,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.5494328,126.923383,상수동 죠스테이블,https://m.place.naver.com/restaurant/1809419661
188284,루시드,서양식,경양식,서양식 음식점업,상수동,37.54736745,126.9221792,상수동 루시드,https://m.place.naver.com/restaurant/1354533620
189726,채온,비알코올 ,카페,커피 전문점,상수동,37.54865101,126.9216401,상수동 채온,https://m.place.naver.com/restaurant/1881468291
191347,빽돈,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54839028,126.9207159,상수동 빽돈,https://m.place.naver.com/restaurant/1556960033
194457,이응이응이응이응,주점,요리 주점,기타 주점업,상수동,37.54806584,126.9207093,상수동 이응이응이응이응,https://m.place.naver.com/restaurant/1601204746
195251,연우김밥,기타 간이,김밥/만두/분식,한식 일반 음식점업,상수동,37.54730996,126.9227911,상수동 연우김밥,https://m.place.naver.com/restaurant/35781433
195940,케이디에이치컴퍼니,일식,일식 회/초밥,일식 음식점업,상수동,37.54927314,126.9226723,상수동 케이디에이치컴퍼니,https://m.place.naver.com/restaurant/1835695877
198740,해피베어데이,비알코올 ,카페,커피 전문점,상수동,37.54833176,126.9212147,상수동 해피베어데이,https://m.place.naver.com/restaurant/1130004491
198839,서울돼지구이,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54594843,126.9226862,상수동 서울돼지구이,https://m.place.naver.com/restaurant/38404891
201574,카페틈이있는곳,비알코올 ,카페,커피 전문점,상수동,37.54817518,126.9218281,상수동 카페틈이있는곳,https://m.place.naver.com/restaurant/1925814579
202889,맛머무는집,한식,백반/한정식,한식 일반 음식점업,상수동,37.54759392,126.9223117,상수동 맛머무는집,https://m.place.naver.com/restaurant/36208889
203431,카페게이트홍대상수점,비알코올 ,카페,커피 전문점,상수동,37.5483618,126.9205579,상수동 카페게이트홍대상수점,https://m.place.naver.com/restaurant/37404937
204357,크로우,서양식,경양식,서양식 음식점업,상수동,37.54811883,126.9225645,상수동 크로우,https://m.place.naver.com/restaurant/1918450199
206183,스미비부타동,일식,일식 회/초밥,일식 음식점업,상수동,37.54934109,126.9222187,상수동 스미비부타동,https://m.place.naver.com/restaurant/1479575962
207053,이네크,비알코올 ,카페,커피 전문점,상수동,37.54900614,126.9240229,상수동 이네크,https://m.place.naver.com/restaurant/1948192508
209496,해공방,일식,일식 회/초밥,일식 음식점업,상수동,37.54585325,126.9231176,상수동 해공방,https://m.place.naver.com/restaurant/1332457219
