,name,cate_1,cate_2,cate_3,dong,lon,lat,naver_keyword,naver_map_url
212406,샌디빌리지,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54717358,126.9226573,상수동 샌디빌리지,https://m.place.naver.com/restaurant/1005475707
213287,크림크림,비알코올 ,카페,커피 전문점,상수동,37.54793575,126.9222502,상수동 크림크림,https://m.place.naver.com/restaurant/1930501201
213613,펠리칸카페,비알코올 ,카페,커피 전문점,상수동,37.54749606,126.9224489,상수동 펠리칸카페,https://m.place.naver.com/restaurant/1773180579
215144,핑플,주점,요리 주점,기타 주점업,상수동,37.54598148,126.9223576,상수동 핑플,https://m.place.naver.com/restaurant/1105669083
215911,농담,서양식,경양식,서양식 음식점업,상수동,37.54815334,126.9214097,상수동 농담,https://m.place.naver.com/restaurant/1463569236
216025,포차의성지,주점,요리 주점,기타 주점업,상수동,37.54795162,126.9210278,상수동 포차의성지,https://m.place.naver.com/restaurant/1138394286
216083,카페삡,비알코올 ,카페,커피 전문점,상수동,37.54958774,126.9225886,상수동 카페삡,https://m.place.naver.com/restaurant/1840468850
216164,보글Bogl,주점,요리 주점,기타 주점업,상수동,37.54827023,126.9223699,상수동 보글Bogl,https://m.place.naver.com/restaurant/1783102547
217579,청염,한식,백반/한정식,한식 일반 음식점업,상수동,37.54822107,126.9209334,상수동 청염,https://m.place.naver.com/restaurant/1968446392
218869,홈,서양식,경양식,서양식 음식점업,상수동,37.54564005,126.9224643,상수동 홈,https://m.place.naver.com/restaurant/1144851187
234089,국제식당,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54805649,126.9226446,상수동 국제식당,https://m.place.naver.com/restaurant/37405553
236491,CIURICIURI,서양식,경양식,서양식 음식점업,상수동,37.54841378,126.9213154,상수동 CIURICIURI,https://m.place.naver.com/restaurant/36868834
237580,까리뇨,서양식,경양식,서양식 음식점업,상수동,37.54593345,126.9210456,상수동 까리뇨,https://m.place.naver.com/restaurant/1572504541
237897,엠엔씨푸드시스템,한식,백반/한정식,한식 일반 음식점업,상수동,37.54855011,126.9234183,상수동 엠엔씨푸드시스템,https://m.place.naver.com/restaurant/1791373217
238360,슬런치,한식,백반/한정식,경영 컨설팅업,상수동,37.54585931,126.9208203,상수동 슬런치,https://m.place.naver.com/restaurant/20139601
239611,펠앤콜,비알코올 ,카페,커피 전문점,상수동,37.54815104,126.9221453,상수동 펠앤콜,https://m.place.naver.com/restaurant/20362335
239793,1976샤브샤브,한식,국/탕/찌개류,한식 일반 음식점업,상수동,37.54704642,126.9225459,상수동 1976샤브샤브,https://m.place.naver.com/restaurant/37168372
239841,슬런치,서양식,경양식,서양식 음식점업,상수동,37.54585931,126.9208203,상수동 슬런치,https://m.place.naver.com/restaurant/20139601
239848,웨일펍,주점,요리 주점,기타 주점업,상수동,37.54761268,126.9214061,상수동 웨일펍,https://m.place.naver.com/restaurant/35756687
239939,소리창고,한식,백반/한정식,한식 일반 음식점업,상수동,37.54753774,126.9240553,상수동 소리창고,https://m.place.naver.com/restaurant/418420835
239999,한솥도시락,한식,백반/한정식,한식 일반 음식점업,상수동,37.54758625,126.922459,상수동 한솥도시락,https://m.place.naver.com/restaurant/31068016
240022,구스토타코,서양식,기타 서양식 음식점,서양식 음식점업,상수동,37.54813881,126.9227792,상수동 구스토타코,https://m.place.naver.com/restaurant/33237660
240024,코운코운,기타 간이,빵/도넛,제과점업,상수동,37.54613184,126.9220499,상수동 코운코운,https://m.place.naver.com/restaurant/1830402626
240028,김씨네심야식당,주점,요리 주점,기타 주점업,상수동,37.54611591,126.9212919,상수동 김씨네심야식당,https://m.place.naver.com/restaurant/33299940
240056,해운대,한식,백반/한정식,한식 일반 음식점업,상수동,37.54547458,126.9250695,상수동 해운대,https://m.place.naver.com/restaurant/21660132
240095,후계동,동남아시아,베트남식 전문,기타 외국식 음식점업,상수동,37.54760626,126.9216891,상수동 후계동,https://m.place.naver.com/restaurant/1893956178
240186,히메시야,일식,일식 회/초밥,일식 음식점업,상수동,37.54866573,126.9212778,상수동 히메시야,https://m.place.naver.com/restaurant/33626741
240210,나들목,주점,요리 주점,기타 주점업,상수동,37.54748829,126.9225849,상수동 나들목,https://m.place.naver.com/restaurant/21907890
240424,이반추얼리,서양식,경양식,서양식 음식점업,상수동,37.54857458,126.9221505,상수동 이반추얼리,https://m.place.naver.com/restaurant/1414552557
240828,회뜰때까지,한식,횟집,한식 해산물 요리 전문점,상수동,37.54762314,126.9215644,상수동 회뜰때까지,https://m.place.naver.com/restaurant/36369666
241037,버들골이야기,한식,백반/한정식,한식 일반 음식점업,상수동,37.54757859,126.9226062,상수동 버들골이야기,https://m.place.naver.com/restaurant/33972707
241326,여기가거기,한식,백반/한정식,한식 일반 음식점업,상수동,37.54800702,126.9211741,상수동 여기가거기,https://m.place.naver.com/restaurant/20898461
241382,파파존스,기타 간이,버거,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54790454,126.9237671,상수동 파파존스,https://m.place.naver.com/restaurant/13397564
241385,오츠커피,비알코올 ,카페,커피 전문점,상수동,37.54730893,126.922678,상수동 오츠커피,https://m.place.naver.com/restaurant/35306735
241439,르쁘띠푸,기타 간이,빵/도넛,제과점업,상수동,37.54993618,126.9232513,상수동 르쁘띠푸,https://m.place.naver.com/restaurant/13156166
241663,산타페,주점,요리 주점,기타 주점업,상수동,37.54974338,126.922858,상수동 산타페,https://m.place.naver.com/restaurant/1275354643
241851,서강팔경,서양식,경양식,서양식 음식점업,상수동,37.54492728,126.9253263,상수동 서강팔경,https://m.place.naver.com/restaurant/13353285
242279,레스토랑괴르츠,서양식,경양식,서양식 음식점업,상수동,37.54485053,126.9258027,상수동 레스토랑괴르츠,https://m.place.naver.com/restaurant/11726132
242340,통통숯불고기,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54790454,126.9237671,상수동 통통숯불고기,https://m.place.naver.com/restaurant/13539443
242695,웃사브,동남아시아,베트남식 전문,기타 외국식 음식점업,상수동,37.54904554,126.9224153,상수동 웃사브,https://m.place.naver.com/restaurant/13345600
242756,정가네,한식,백반/한정식,한식 일반 음식점업,상수동,37.54744784,126.9201297,상수동 정가네,https://m.place.naver.com/restaurant/18779198
242812,삭,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상수동,37.54797253,126.9213444,상수동 삭,https://m.place.naver.com/restaurant/11856660
243204,강포차,주점,요리 주점,기타 주점업,상수동,37.54761268,126.9214061,상수동 강포차,https://m.place.naver.com/restaurant/38521652
243336,더블루스,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.54978973,126.923989,상수동 더블루스,https://m.place.naver.com/restaurant/19878081
243486,또바기치킨,주점,요리 주점,기타 주점업,상수동,37.54690455,126.922797,상수동 또바기치킨,https://m.place.naver.com/restaurant/18341255
243893,투섬플레이스상수점,비알코올 ,카페,커피 전문점,상수동,37.54748984,126.9227546,상수동 투섬플레이스상수점,https://m.place.naver.com/restaurant/1921364502
252888,문릿아워,주점,요리 주점,기타 주점업,상수동,37.5485666,126.9222638,상수동 문릿아워,https://m.place.naver.com/restaurant/1583387961
278500,파리바게뜨상수점,기타 간이,빵/도넛,제과점업,상수동,37.54796234,126.9231891,상수동 파리바게뜨상수점,https://m.place.naver.com/restaurant/11690046
283002,바다회해물탕,한식,국/탕/찌개류,한식 해산물 요리 전문점,상수동,37.54851029,126.9210311,상수동 바다회해물탕,https://m.place.naver.com/restaurant/33881133
286535,앵춘,중식,중국집,중식 음식점업,상수동,37.5479373,126.92242,상수동 앵춘,https://m.place.naver.com/restaurant/1939461559
291304,나인투에잇,서양식,경양식,서양식 음식점업,상수동,37.54678859,126.9219386,상수동 나인투에잇,https://m.place.naver.com/restaurant/1815038837
291832,한석화,한식,백반/한정식,한식 일반 음식점업,상수동,37.54817518,126.9218281,상수동 한석화,https://m.place.naver.com/restaurant/1017344816
300761,종로빈대떡,한식,전/부침개,한식 일반 음식점업,상수동,37.54611992,126.9227177,상수동 종로빈대떡,https://m.place.naver.com/restaurant/1520418193
303547,퍼즈,서양식,경양식,서양식 음식점업,상수동,37.54927314,126.9226723,상수동 퍼즈,https://m.place.naver.com/restaurant/1811726897
304042,경주식당,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54841212,126.9211343,상수동 경주식당,https://m.place.naver.com/restaurant/31469248
307089,버즈,주점,일반 유흥 주점,일반 유흥 주점업,상수동,37.5490855,126.9228448,상수동 버즈,https://m.place.naver.com/restaurant/1882914108
312181,황금투구,주점,요리 주점,기타 주점업,상수동,37.54594843,126.9226862,상수동 황금투구,https://m.place.naver.com/restaurant/1608331480
323134,코카이라멘,일식,일식 면 요리,일식 음식점업,상수동,37.54873894,126.9214012,상수동 코카이라멘,https://m.place.naver.com/restaurant/1331951276
323659,로펠로세라,비알코올 ,카페,커피 전문점,상수동,37.54827023,126.9223699,상수동 로펠로세라,https://m.place.naver.com/restaurant/1236592141
323852,파랑,주점,요리 주점,기타 주점업,상수동,37.5487061,126.9217525,상수동 파랑,https://m.place.naver.com/restaurant/1072991631
324090,환시앙,중식,중국집,중식 음식점업,상수동,37.5490855,126.9228448,상수동 환시앙,https://m.place.naver.com/restaurant/1181997169
326651,서담해물,한식,백반/한정식,한식 일반 음식점업,상수동,37.54826227,126.9214986,상수동 서담해물,https://m.place.naver.com/restaurant/1068155109
327279,아띠네,서양식,경양식,서양식 음식점업,상수동,37.54812588,126.9223493,상수동 아띠네,https://m.place.naver.com/restaurant/1794528224
328882,아크로마커피바,비알코올 ,카페,커피 전문점,상수동,37.54613184,126.9220499,상수동 아크로마커피바,https://m.place.naver.com/restaurant/1671232472
330642,따로소고기국밥,한식,돼지고기 구이/찜,한식 일반 음식점업,상수동,37.54730996,126.9227911,상수동 따로소고기국밥,https://m.place.naver.com/restaurant/1510601011
332310,뚜레쥬르마포밤섬점,기타 간이,빵/도넛,제과점업,상수동,37.54604952,126.9248802,상수동 뚜레쥬르마포밤섬점,https://m.place.naver.com/restaurant/36372956
333154,썸띵,비알코올 ,카페,커피 전문점,상수동,37.54740111,126.9219184,상수동 썸띵,https://m.place.naver.com/restaurant/1623321773
334474,플로러스앤카페,비알코올 ,카페,커피 전문점,상수동,37.54713868,126.9227823,상수동 플로러스앤카페,https://m.place.naver.com/restaurant/1231828985
337098,이리카페,비알코올 ,카페,커피 전문점,상수동,37.54585723,126.9215785,상수동 이리카페,https://m.place.naver.com/restaurant/11839441
338140,탐라식당,한식,백반/한정식,한식 일반 음식점업,상수동,37.54590475,126.9218494,상수동 탐라식당,https://m.place.naver.com/restaurant/20694388
338482,리플레이,주점,요리 주점,기타 주점업,상수동,37.54614145,126.9231022,상수동 리플레이,https://m.place.naver.com/restaurant/1449257697
338602,꾸울과자점,기타 간이,빵/도넛,제과점업,상수동,37.54941217,126.9240849,상수동 꾸울과자점,https://m.place.naver.com/restaurant/1528833676
339718,만뽀스키우동총,일식,일식 면 요리,중식 음식점업,상수동,37.54753782,126.9211017,상수동 만뽀스키우동총,https://m.place.naver.com/restaurant/1233823212
346702,카페모인,비알코올 ,카페,커피 전문점,상수동,37.54758949,126.9208406,상수동 카페모인,https://m.place.naver.com/restaurant/31383326
348239,네포,주점,요리 주점,기타 주점업,상수동,37.54835144,126.9213955,상수동 네포,https://m.place.naver.com/restaurant/1442288096
350981,서울정육점,한식,백반/한정식,한식 일반 음식점업,상수동,37.54800702,126.9211741,상수동 서울정육점,https://m.place.naver.com/restaurant/1637886042
352207,넙딱집,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54751957,126.9250288,상수동 넙딱집,https://m.place.naver.com/restaurant/1818653919
352344,달콤한거짓말,기타 간이,빵/도넛,제과점업,상수동,37.54806471,126.9205848,상수동 달콤한거짓말,https://m.place.naver.com/restaurant/20510754
357973,시연,비알코올 ,카페,커피 전문점,상수동,37.54797565,126.9206993,상수동 시연,https://m.place.naver.com/restaurant/1218996563
361915,별헤는잔,주점,요리 주점,기타 주점업,상수동,37.55020656,126.9232587,상수동 별헤는잔,https://m.place.naver.com/restaurant/1733839685
373145,칠이타코,서양식,기타 서양식 음식점,서양식 음식점업,상수동,37.54598148,126.9223576,상수동 칠이타코,https://m.place.naver.com/restaurant/36782923
381918,외양간,서양식,경양식,서양식 음식점업,상수동,37.54728259,126.9237421,상수동 외양간,https://m.place.naver.com/restaurant/963900956
387964,카츠닉,일식,일식 회/초밥,일식 음식점업,상수동,37.54823359,126.921318,상수동 카츠닉,https://m.place.naver.com/restaurant/1704823665
411398,호텔아르마딜로커피,비알코올 ,카페,커피 전문점,상수동,37.54795162,126.9210278,상수동 호텔아르마딜로커피,https://m.place.naver.com/restaurant/1201966960
411808,헤이주드바,주점,요리 주점,기타 주점업,상수동,37.54797565,126.9206993,상수동 헤이주드바,https://m.place.naver.com/restaurant/37427421
414991,스타클링,비알코올 ,카페,커피 전문점,상수동,37.54809224,126.9216256,상수동 스타클링,https://m.place.naver.com/restaurant/1457190139
415323,에이엠나인,비알코올 ,카페,커피 전문점,상수동,37.54797271,126.9253165,상수동 에이엠나인,https://m.place.naver.com/restaurant/1632015192
415615,노랑통닭상수점,기타 간이,치킨,치킨 전문점,상수동,37.54751957,126.9250288,상수동 노랑통닭상수점,https://m.place.naver.com/restaurant/36523590
415806,느리네,주점,요리 주점,기타 주점업,상수동,37.54600757,126.9222554,상수동 느리네,https://m.place.naver.com/restaurant/33084810
415934,스시가마시,일식,일식 회/초밥,일식 음식점업,상수동,37.54753774,126.9240553,상수동 스시가마시,https://m.place.naver.com/restaurant/1441963484
419294,튜토리얼,비알코올 ,카페,커피 전문점,상수동,37.54803372,126.9221243,상수동 튜토리얼,https://m.place.naver.com/restaurant/1165474756
419505,머쉬,서양식,경양식,서양식 음식점업,상수동,37.54825823,126.9220419,상수동 머쉬,https://m.place.naver.com/restaurant/1679887858
419767,하꼬,주점,요리 주점,기타 주점업,상수동,37.54597931,126.92212,상수동 하꼬,https://m.place.naver.com/restaurant/37260444
419859,요아케,한식,백반/한정식,한식 일반 음식점업,상수동,37.54844835,126.922141,상수동 요아케,https://m.place.naver.com/restaurant/1019051610
421608,펍수니스,주점,요리 주점,기타 주점업,상수동,37.54940182,126.923938,상수동 펍수니스,https://m.place.naver.com/restaurant/411966209
421754,몽슈와,비알코올 ,카페,커피 전문점,상수동,37.54870154,126.9222392,상수동 몽슈와,https://m.place.naver.com/restaurant/1236995778
424061,칠십삼명품도야지,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54613184,126.9220499,상수동 칠십삼명품도야지,https://m.place.naver.com/restaurant/359754904
425585,소굴,한식,백반/한정식,한식 일반 음식점업,상수동,37.54736745,126.9221792,상수동 소굴,https://m.place.naver.com/restaurant/1658877678
427006,템스,주점,요리 주점,기타 주점업,상수동,37.54817371,126.9226542,상수동 템스,https://m.place.naver.com/restaurant/1797246297
428454,소담카츠,일식,일식 회/초밥,일식 음식점업,상수동,37.54841905,126.9248574,상수동 소담카츠,https://m.place.naver.com/restaurant/1165293784
428631,골목집,한식,백반/한정식,한식 일반 음식점업,상수동,37.54958774,126.9225886,상수동 골목집,https://m.place.naver.com/restaurant/1010219772
429629,비스트로해선,한식,횟집,한식 해산물 요리 전문점,상수동,37.54755406,126.9218936,상수동 비스트로해선,https://m.place.naver.com/restaurant/1349290845
429771,쓰리텐,주점,요리 주점,기타 주점업,상수동,37.54932208,126.9240862,상수동 쓰리텐,https://m.place.naver.com/restaurant/1950780534
432499,아마스빈,비알코올 ,카페,커피 전문점,상수동,37.5490855,126.9228448,상수동 아마스빈,https://m.place.naver.com/restaurant/1797673450
435005,아티장깔조네버거,기타 간이,버거,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54889215,126.9233795,상수동 아티장깔조네버거,https://m.place.naver.com/restaurant/1210273017
435235,리미트,서양식,경양식,서양식 음식점업,상수동,37.54817518,126.9218281,상수동 리미트,https://m.place.naver.com/restaurant/1581932791
435607,금복식당,일식,일식 회/초밥,일식 음식점업,상수동,37.54736745,126.9221792,상수동 금복식당,https://m.place.naver.com/restaurant/1224693248
436474,진짜파스타,서양식,파스타/스테이크,서양식 음식점업,상수동,37.55020656,126.9232587,상수동 진짜파스타,https://m.place.naver.com/restaurant/154970292
437344,시호,주점,요리 주점,기타 주점업,상수동,37.54564005,126.9224643,상수동 시호,https://m.place.naver.com/restaurant/1660932832
438900,포체어스,주점,요리 주점,기타 주점업,상수동,37.54762956,126.9212814,상수동 포체어스,https://m.place.naver.com/restaurant/1893210680
440462,루크,비알코올 ,카페,커피 전문점,상수동,37.54756527,126.920162,상수동 루크,https://m.place.naver.com/restaurant/1748999627
443881,자개장,주점,요리 주점,기타 주점업,상수동,37.54841378,126.9213154,상수동 자개장,https://m.place.naver.com/restaurant/1910605519
447211,고라니특공대,한식,백반/한정식,한식 일반 음식점업,상수동,37.54526958,126.9263059,상수동 고라니특공대,https://m.place.naver.com/restaurant/1933134794
447220,바로퍼,주점,요리 주점,기타 주점업,상수동,37.54843969,126.9241555,상수동 바로퍼,https://m.place.naver.com/restaurant/1881154739
448971,오페크,비알코올 ,카페,커피 전문점,상수동,37.54817371,126.9226542,상수동 오페크,https://m.place.naver.com/restaurant/1002491565
450147,상수동떡볶이,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상수동,37.54611992,126.9227177,상수동 상수동떡볶이,https://m.place.naver.com/restaurant/1430560487
450986,상수주택,한식,백반/한정식,한식 일반 음식점업,상수동,37.5486448,126.9219458,상수동 상수주택,https://m.place.naver.com/restaurant/1430943747
452367,스위츠찬미,비알코올 ,카페,커피 전문점,상수동,37.54932208,126.9240862,상수동 스위츠찬미,https://m.place.naver.com/restaurant/1863699103
453136,사온서,서양식,경양식,서양식 음식점업,상수동,37.54751273,126.9223016,상수동 사온서,https://m.place.naver.com/restaurant/1880343660
453788,살롱드상수,비알코올 ,카페,커피 전문점,상수동,37.54801355,126.9209024,상수동 살롱드상수,https://m.place.naver.com/restaurant/1433865391
457487,프레드앤조지,주점,요리 주점,기타 주점업,상수동,37.54842411,126.9224469,상수동 프레드앤조지,https://m.place.naver.com/restaurant/1868571017
458005,커피빈,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.54811529,126.9231643,상수동 커피빈,https://m.place.naver.com/restaurant/1264182915
460307,알촌,한식,백반/한정식,한식 일반 음식점업,상수동,37.54934109,126.9222187,상수동 알촌,https://m.place.naver.com/restaurant/1979790113
461337,더몽크,비알코올 ,카페,커피 전문점,상수동,37.5469706,126.9231242,상수동 더몽크,https://m.place.naver.com/restaurant/1049475758
463321,커피에반하다상수점,비알코올 ,카페,커피 전문점,상수동,37.54556744,126.9273541,상수동 커피에반하다상수점,https://m.place.naver.com/restaurant/1364435272
464372,다이닝늘,서양식,경양식,서양식 음식점업,상수동,37.54485953,126.9258026,상수동 다이닝늘,https://m.place.naver.com/restaurant/1841366645
465114,언플랜드커피,비알코올 ,카페,커피 전문점,상수동,37.54618941,126.9224338,상수동 언플랜드커피,https://m.place.naver.com/restaurant/1111833723
468321,라와마라탕,중식,마라탕/훠궈,중식 음식점업,상수동,37.54749551,126.9233769,상수동 라와마라탕,https://m.place.naver.com/restaurant/1029339229
468402,원타코스,서양식,기타 서양식 음식점,기타 외국식 음식점업,상수동,37.54882798,126.9222713,상수동 원타코스,https://m.place.naver.com/restaurant/1236510493
469300,카페모모이,비알코올 ,카페,커피 전문점,상수동,37.54879413,126.9215249,상수동 카페모모이,https://m.place.naver.com/restaurant/1858803294
470021,라라음악사,한식,백반/한정식,한식 일반 음식점업,상수동,37.54831023,126.9208302,상수동 라라음악사,https://m.place.naver.com/restaurant/1010196744
471075,카페몬데이,비알코올 ,카페,커피 전문점,상수동,37.54845478,126.921858,상수동 카페몬데이,https://m.place.naver.com/restaurant/1918610697
474311,앤디하우스,한식,백반/한정식,한식 일반 음식점업,상수동,37.54943448,126.9225795,상수동 앤디하우스,https://m.place.naver.com/restaurant/1152703149
474745,이세계로,한식,백반/한정식,한식 일반 음식점업,상수동,37.54805773,126.9227804,상수동 이세계로,https://m.place.naver.com/restaurant/1992720039
475369,평야,주점,요리 주점,기타 주점업,상수동,37.54799314,126.921627,상수동 평야,https://m.place.naver.com/restaurant/1903713739
475459,버터인이유,기타 간이,빵/도넛,제과점업,상수동,37.54839127,126.9227982,상수동 버터인이유,https://m.place.naver.com/restaurant/1931811184
477178,데보,비알코올 ,카페,커피 전문점,상수동,37.5486448,126.9219458,상수동 데보,https://m.place.naver.com/restaurant/1950627213
477317,참새초밥,일식,일식 회/초밥,일식 음식점업,상수동,37.55005423,126.9233514,상수동 참새초밥,https://m.place.naver.com/restaurant/1242479478
477866,일구구구코돈부르,서양식,경양식,서양식 음식점업,상수동,37.54878512,126.921525,상수동 일구구구코돈부르,https://m.place.naver.com/restaurant/1835078284
478116,페더에딧,기타 간이,빵/도넛,제과점업,상수동,37.54835681,126.9219839,상수동 페더에딧,https://m.place.naver.com/restaurant/1386872409
478132,100디그리,비알코올 ,카페,커피 전문점,상수동,37.54845839,126.922254,상수동 100디그리,https://m.place.naver.com/restaurant/1835919664
480261,메가엠지씨커피,비알코올 ,카페,커피 전문점,상수동,37.54883665,126.9232218,상수동 메가엠지씨커피,https://m.place.naver.com/restaurant/1117566105
481709,근제베이커리,기타 간이,빵/도넛,제과점업,상수동,37.54815104,126.9221453,상수동 근제베이커리,https://m.place.naver.com/restaurant/1145550028
481833,슬라이스룸,서양식,경양식,서양식 음식점업,상수동,37.54613184,126.9220499,상수동 슬라이스룸,https://m.place.naver.com/restaurant/1593105203
482172,카페코드,비알코올 ,카페,커피 전문점,상수동,37.54835144,126.9213955,상수동 카페코드,https://m.place.naver.com/restaurant/1839142336
482350,고수포차,한식,백반/한정식,한식 일반 음식점업,상수동,37.54755406,126.9218936,상수동 고수포차,https://m.place.naver.com/restaurant/1863876179
487173,카페홀리데이,비알코올 ,카페,커피 전문점,상수동,37.54831094,126.921894,상수동 카페홀리데이,https://m.place.naver.com/restaurant/1977291755
487456,카페힣,비알코올 ,카페,커피 전문점,상수동,37.54866853,126.9245483,상수동 카페힣,https://m.place.naver.com/restaurant/1235974606
487868,칸스홍대상수점,서양식,경양식,서양식 음식점업,상수동,37.548523,126.9224228,상수동 칸스홍대상수점,https://m.place.naver.com/restaurant/1323483649
